"scenario","variable","nutrient","quan_25","median","quan_75","share_neg","share_zero"
"PS","local_vegetal_products_consumed","K",334.531,355.3135,376.745,0,0
"PS","local_vegetal_products_consumed","N",510.01875,524.5025,539.338,0,0
"PS","local_vegetal_products_consumed","P",57.939,59.191,60.46,0,0
"PS","manure_as_biogas_substrate","K",1276.08325,2041.9735,2869.963,0,0.0481
"PS","manure_as_biogas_substrate","N",2561.10675,3297.3775,4256.6015,0,0
"PS","manure_as_biogas_substrate","P",162.45625,341.065,516.377,0,0.1093
"PS","manure_export","K",115.8275,1161.712,2023.89,0,0.2305
"PS","manure_export","N",1035.29425,1782.8665,2652.5315,0,0.0505
"PS","manure_export","P",0,2.7565,256.98725,0,0.4977
"PS","manure_to_crop","K",2102.66175,3251.024,4571.59075,0.0053,0.0216
"PS","manure_to_crop","N",3318.82525,4464.7215,5626.71875,0,0.0216
"PS","manure_to_crop","P",391.94625,619.8995,880.63425,0.0119,0.0216
"PS","net_feed_import","K",0,0,0,0,1
"PS","net_feed_import","N",0,0,0,0,1
"PS","net_feed_import","P",0,0,0,0,1
"PS","net_food_import","K",89.82775,93.6265,103.59825,0,0
"PS","net_food_import","N",197.511,202.3985,210.205,0,0
"PS","net_food_import","P",19.01775,19.603,20.207,0,0
"PS","ofmsw","K",122.7375,135.279,147.91875,0,0
"PS","ofmsw","N",228.67975,247.6835,267.24275,0,0
"PS","ofmsw","P",30.0825,35.9355,42.06525,0,0
"PS","ofmsw_residual_waste","K",16.89025,18.6335,20.40025,0,0
"PS","ofmsw_residual_waste","N",31.90875,34.7015,37.746,0,0
"PS","ofmsw_residual_waste","P",4.184,5.026,5.88525,0,0
"PS","other_organic_fertilizer_export","K",1718.6285,1789.515,1862.78725,0,0
"PS","other_organic_fertilizer_export","N",1951.7485,2177.104,2399.735,0,0
"PS","other_organic_fertilizer_export","P",438.1305,489.1175,538.3595,0,0
"PS","sewage","K",840.73275,876.557,911.9125,0,0
"PS","sewage","N",1861.13975,1901.8825,1940.47175,0,0
"PS","sewage","P",257.487,262.882,268.408,0,0
"PS","sewage_sludge_export","K",15.06075,20.027,25.0435,0,0
"PS","sewage_sludge_export","N",263.77575,406.464,550.15025,0,0
"PS","sewage_sludge_export","P",222.731,227.8765,233.03825,0,0
"PS","sewage_to_crop","K",0.92,1.224,1.531,0,0
"PS","sewage_to_crop","N",16.1355,24.842,33.5995,0,0
"PS","sewage_to_crop","P",13.605,13.9215,14.241,0,0
"PS","slaughter_animal","K",115.52075,137.7485,162.528,0,0
"PS","slaughter_animal","N",1472.12525,1757.9965,2080.6995,0,0
"PS","slaughter_animal","P",296.44,356.576,420.63775,0,0
"PS","slaughter_waste","K",36.5455,44.2995,53.3135,0,0
"PS","slaughter_waste","N",466.30975,566.0015,680.7065,0,0
"PS","slaughter_waste","P",93.6965,114.535,137.82125,0,0
"PS","straw","K",222.85775,229.4055,235.87175,0,0
"PS","straw","N",91.723,92.226,92.739,0,0
"PS","straw","P",23.273,23.974,24.703,0,0
"PS","vegetal_biogas_substrate","K",0,0,0,0,0.7685
"PS","vegetal_biogas_substrate","N",798.3995,1192.9055,1598.34675,0,0
"PS","vegetal_biogas_substrate","P",100.69225,163.822,234.008,0,0.0128
"PS","wastewater_direct_discharge","K",429.006,447.1205,465.36725,0,0
