description,variable,unit,lower,median,upper,distribution,subsystem,,version
butter (product weight),consume_butter,kg / person / year,5.40000,6.00000,6.60000,posnorm,consumption,,unchanged
,consume_rice,kg / person / year,4.59000,5.10000,5.61000,posnorm,consumption,,unchanged
,N_content_nuts,g N / 100 gram product,4.28400,4.76000,5.23600,posnorm,consumption,,unchanged
,consume_nuts,kg / person / year,4.23000,4.70000,5.17000,posnorm,consumption,,unchanged
digestate N content,digestate_N_content,kg N per t fresh matter,4.14000,4.60000,5.06000,posnorm,waste,,
Beans,N_yield_beans,kg N / FM dt,3.69000,4.10000,4.51000,posnorm,crop,no,unchanged
pauschale ammoniak verluste ackerland,flatrate_ammonia_losses,kg flatrate / FM dt,3.60000,4.00000,4.40000,posnorm,crop,,unchanged
,N_content_cheese,g N / 100 gram product,3.60000,4.00000,4.40000,posnorm,consumption,,unchanged
,N_content_black_tea,g N / 100 gram product,3.52800,3.92000,4.31200,posnorm,consumption,,unchanged
,N_content_herb_tea,g N / 100 gram product,3.52800,3.92000,4.31200,posnorm,consumption,,unchanged
Fodder peas,N_yield_fodder_peas,kg N / FM dt,3.24000,3.60000,3.96000,posnorm,crop,no,unchanged
,consume_cocoa,kg / person / year,3.24000,3.60000,3.96000,posnorm,consumption,,unchanged
,N_content_poultry_meat,g N / 100 gram product,3.19500,3.55000,3.90500,posnorm,consumption,,unchanged
,N_content_pork,g N / 100 gram product,3.16800,3.52000,3.87200,posnorm,consumption,,unchanged
,consume_sparkling_wine,l / person,3.12300,3.47000,3.81700,posnorm,consumption,,unchanged
,N_content_beef,g N / 100 gram product,3.05100,3.39000,3.72900,posnorm,consumption,,unchanged
Oilseed rape,N_yield_oilseed_rape,kg N / FM dt,3.01500,3.35000,3.68500,posnorm,crop,no,unchanged
,N_content_other_meat,g N / 100 gram product,2.97000,3.30000,3.63000,posnorm,consumption,,unchanged
,N_content_sheep_meat,g N / 100 gram product,2.93400,3.26000,3.58600,posnorm,consumption,,unchanged
,N_content_poultry,gr N / 100 gram product,2.76250,3.25000,3.73750,posnorm,animal,,unchanged
