"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"compost_to_consumption_N1","11","local_feed",6,10000,8.40541941678666,1.17164390049702,8.37259297035141,8.38194143794525,1.16048200707858,4.70976638331506,13.702202126613,8.99243574329794,0.204475426123167,0.069980196499469,0.01171643900497
"compost_to_consumption_N2","12","normal",6,10000,8.40541941678666,1.17164390049702,8.37259297035141,8.38194143794525,1.16048200707858,4.70976638331506,13.702202126613,8.99243574329794,0.204475426123167,0.069980196499469,0.01171643900497
"digestate_N1","13","local_feed",7,10000,1363204.61880926,213323.262653014,1352634.19326481,1356589.70477781,207798.081059736,696710.260210157,2454220.98769923,1757510.72748907,0.319046407004864,0.176919649799951,2133.23262653014
"digestate_N2","14","normal",7,10000,1363204.61880926,213323.262653014,1352634.19326481,1356589.70477781,207798.081059736,696710.260210157,2454220.98769923,1757510.72748907,0.319046407004864,0.176919649799951,2133.23262653014
"sewage_sludge_export_N1","15","local_feed",8,10000,424256.108202713,89067.1511144716,421627.217138311,422854.477992676,88735.6795028388,99213.0572478116,900753.127297141,801540.070049329,0.190661649973865,0.173844152035523,890.671511144716
"sewage_sludge_export_N2","16","normal",8,10000,424256.108202713,89067.1511144716,421627.217138311,422854.477992676,88735.6795028388,99213.0572478116,900753.127297141,801540.070049329,0.190661649973865,0.173844152035523,890.671511144716
"wastewater_effluent_gaseous_losses_N1","17","local_feed",9,10000,1443662.02776285,153665.832321221,1438953.8791745,1441248.84789715,154598.463814741,920688.772140775,2184759.51009965,1264070.73795888,0.167625772061261,0.015018706378378,1536.65832321221
"wastewater_effluent_gaseous_losses_N2","18","normal",9,10000,1443662.02776285,153665.832321221,1438953.8791745,1441248.84789715,154598.463814741,920688.772140775,2184759.51009965,1264070.73795888,0.167625772061261,0.015018706378378,1536.65832321221
"fresh_compost_export_N1","19","local_feed",10,10000,160.595516022567,21.4303736639314,159.877921214143,160.221551238306,21.3099742431805,90.4532416161709,249.469382328001,159.01614071183,0.189697443814689,0.027560840451891,0.214303736639314
"fresh_compost_export_N2","20","normal",10,10000,143.312238276688,19.2010109585014,142.722439474722,142.967832863009,19.261558295024,81.5469825432893,229.494738969171,147.947756425882,0.195659878924527,0.041002960328715,0.192010109585014
